COUNTRY,TOTAL_VACCINATIONS_PER100
Afghanistan,6.083
Albania,57.877
Algeria,22.781
American Samoa,105.491
Andorra,120.922
Angola,8.581
Anguilla,123.75
Antigua and Barbuda,83.017
Argentina,96.682
Armenia,12.378
Aruba,143.933
Australia,88.9
Austria,120.772
Azerbaijan,79.33
Bahamas,44.026
Bahrain,149.498
Bangladesh,23.335
Barbados,76.545
Belarus,33.934
Belgium,143.2
Belize,68.089
Benin,1.768
Bermuda,138.413
Bhutan,138.466
Bolivia,54.516
Bonaire,139.876
"Bonaire, Sint Eustatius and Saba",28.441
Bosnia and Herzegovina,32.313
Botswana,16.146
Brazil,97.789
British Virgin Islands,104.852
Brunei Darussalam,84.641
Bulgaria,35.694
Burkina Faso,1.218
Cabo Verde,72.317
Cambodia,122.941
Cameroon,1.731
Canada,145.215
Cayman Islands,159.174
Central African Republic,3.844
Chad,0.749
Chile,160.456
China,145.714
Colombia,74.687
Comoros,38.738
Republic of Congo,3.915
Cook Islands,123.895
Costa Rica,95.641
Côte d’Ivoire,6.668
Croatia,83.303
Cuba,151.932
Curaçao,112.824
Cyprus,128.581
Czechia,109.758
Democratic Republic of the Congo,0.151
Denmark,150.177
Djibouti,6.681
Dominica,61.078
Dominican Republic,106.801
Ecuador,115.173
Egypt,12.669
El Salvador,108.127
Equatorial Guinea,27.216
Estonia,100.981
Eswatini,20.648
Ethiopia,2.854
Falkland Islands (Malvinas),126.529
Faroe Islands,150.218
Fiji,101.205
Finland,134.119
France,141.856
French Guiana,46.763
French Polynesia,83.859
Gabon,7.97
Gambia,8.206
Georgia,42.275
Germany,127.54
Ghana,5.225
Gibraltar,235.478
Greece,111.343
Greenland,135.417
Grenada,45.866
Guadeloupe,50.386
Guam,130.691
Guatemala,32.724
Guernsey,157.576
Guinea,11.318
Guinea-Bissau,4.813
Guyana,65.895
Haiti,0.503
Honduras,44.236
Hungary,
Iceland,150.742
India,59.312
Indonesia,46.508
Iran,51.638
Iraq,18.518
Ireland,143.95
Isle of Man,152.056
Israel,170.662
Italy,139.08
Jamaica,23.623
Japan,114.102
Jersey,139.757
Jordan,67.293
Kazakhstan,72.09
Kenya,6.524
Kiribati,30.354
Kosovo,66.482
Kuwait,55.73
Kyrgyzstan,20.872
Laos,50.369
Latvia,83.449
Lebanon,42.927
Lesotho,15.542
Liberia,4.916
Libya,21.854
Liechtenstein,118.946
Lithuania,119.516
Luxembourg,124.226
Madagascar,1.378
Malawi,5.547
Malaysia,115.54
Maldives,133.88
Mali,1.965
Malta,158.02
Marshall Islands,65.755
Martinique,54.019
Mauritania,18.848
Mauritius,128.479
Mexico,73.018
Micronesia (Federated States of),59.086
Monaco,127.357
Mongolia,138.65
Montenegro,69.448
Montserrat,57.131
Morocco,107.08
Mozambique,11.66
Myanmar,16.544
Namibia,11.691
Nauru,136.515
Nepal,40.514
Netherlands,127.838
New Caledonia,61.575
New Zealand,87.712
Nicaragua,11.61
Niger,2.116
Nigeria,3.001
Niue,145.365
North Macedonia,70.329
Northern Mariana Islands (Commonwealth of the),118.967
Norway,142.682
occupied Palestinian territory,23.646
Oman,90.794
Pakistan,34.386
Palau,164.349
Panama,121.744
Papua New Guinea,1.842
Paraguay,61.706
Peru,69.085
Philippines,34.429
Pitcairn Islands,146.0
Poland,97.494
Portugal,153.885
Puerto Rico,157.578
Qatar,162.3
South Korea,101.099
Republic of Moldova,34.02
Romania,51.586
Russia,60.396
Rwanda,25.791
Saba,67.253
Saint Helena,129.995
Saint Kitts and Nevis,88.141
Saint Lucia,38.947
Saint Vincent and the Grenadines,29.409
Samoa,71.676
San Marino,138.729
Sao Tome and Principe,33.411
Saudi Arabia,118.704
Senegal,10.438
Serbia,91.422
Seychelles,150.896
Sierra Leone,2.772
Singapore,151.213
Sint Eustatius,89.2
Sint Maarten,114.638
Slovakia,85.389
Slovenia,98.837
Solomon Islands,14.23
Somalia,2.71
South Africa,26.927
South Sudan,0.899
Spain,146.937
Sri Lanka,117.268
Sudan,3.421
Suriname,63.785
Sweden,130.642
Switzerland,117.745
Syria,3.051
Tajikistan,40.601
Thailand,62.843
United Kingdom,137.1
Timor-Leste,51.264
Togo,10.06
Tokelau,71.704
Tonga,69.637
Trinidad and Tobago,72.16
Tunisia,60.349
Turkey,125.762
Turkmenistan,0.696
Turks and Caicos Islands,135.27
Tuvalu,92.105
Uganda,3.592
Ukraine,26.711
United Arab Emirates,199.319
Tanzania,0.653
United States of America,117.503
Uruguay,172.243
Uzbekistan,52.094
Vanuatu,18.614
Venezuela,39.015
Vietnam,26.636
Wallis and Futuna,88.049
Yemen,1.083
Zambia,3.793
Zimbabwe,33.938